video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
ysIaMwbHdS8,https://youtu.be/ysIaMwbHdS8,Joey King vs. Miranda Cosgrove | Hot Ones Versus,First We Feast,2024-07-01T17:00:44Z,1318244,"Sabrina Carpenter,Taylor Swift",2
YwXPD7AInb0,https://youtu.be/YwXPD7AInb0,"Why Ed Sheeran regrets giving Justin Bieber the song ""Love Yourself"" 😂",First We Feast,2024-05-26T21:00:15Z,910895,"Ed Sheeran,Justin Bieber",2
68UYBhIte3U,https://youtu.be/68UYBhIte3U,Who is the better performer: Taylor Swift or Harry Styles?,First We Feast,2024-01-27T23:30:01Z,101622,"Harry Styles,Taylor Swift",2
IrebCOq9_6Q,https://youtu.be/IrebCOq9_6Q,Taylor Swift's boyfriend reacts to every wing on Hot Ones,First We Feast,2023-12-29T21:00:08Z,1363986,"Taylor Swift,Travis Kelce",2
oeYmtTVlCPQ,https://youtu.be/oeYmtTVlCPQ,Bert Kreischer is our next action hero (sorry tom cruise),First We Feast,2023-05-22T23:00:17Z,139638,"Brad Pitt,Tom Cruise",2
uRInI9rnDNE,https://youtu.be/uRInI9rnDNE,Adam Richman Eats New Jersey’s Most Iconic Hot Dogs | Pro Moves,First We Feast,2025-05-14T17:01:18Z,588254,Bruce Springsteen,1
GIi6sITC9VE,https://youtu.be/GIi6sITC9VE,Selena Gomez and Benny Blanco are so aligned lol,First We Feast,2025-05-08T23:00:15Z,286522,Selena Gomez,1
adkJYEkzKF8,https://youtu.be/adkJYEkzKF8,There are 2 types of Hot Ones guests - which one are you? 👀,First We Feast,2025-05-05T17:45:00Z,176131,Sabrina Carpenter,1
stmm-TPWtX8,https://youtu.be/stmm-TPWtX8,Sean Evans loved this Selena Gomez Hot Ones moment 💗,First We Feast,2025-04-26T22:00:51Z,215597,Selena Gomez,1
qOTCjNO01-A,https://youtu.be/qOTCjNO01-A,"""So much hot sauce"" - Lady Gaga 🫠",First We Feast,2025-04-24T22:00:56Z,237183,Lady Gaga,1
CtYDRGJuNkw,https://youtu.be/CtYDRGJuNkw,We're obsessed with Selena Gomez and benny blanco on Hot Ones 🥹,First We Feast,2025-03-25T18:00:14Z,137979,Selena Gomez,1
aCbA61u5r0s,https://youtu.be/aCbA61u5r0s,Selena Gomez and Benny Blanco's reaction to every wing on Hot Ones 😭,First We Feast,2025-03-21T18:00:00Z,315750,Selena Gomez,1
8K04679sw4Q,https://youtu.be/8K04679sw4Q,Selena Gomez needs to take a LAP 🏃‍♀️🏃‍♀️🏃‍♀️,First We Feast,2025-03-20T15:15:00Z,5722994,Selena Gomez,1
NYH3pAYRrBM,https://youtu.be/NYH3pAYRrBM,Selena Gomez and benny blanco Burn With Love While Eating Spicy Wings | Hot Ones,First We Feast,2025-03-20T15:00:33Z,6257730,Selena Gomez,1
iYew7mI5sUw,https://youtu.be/iYew7mI5sUw,Selena Gomez & Benny Blanco's Next Collab: The Wings of Death! 💀,First We Feast,2025-03-19T19:45:41Z,552753,Selena Gomez,1
