video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
zWS2zg1Nm_Y,https://youtu.be/zWS2zg1Nm_Y,It Was Love At First Sight For Vice President Kamala Harris And Second Gentleman Douglas Emhoff,The Late Show with Stephen Colbert,2024-05-23T07:35:01Z,448596,Kamala Harris,1
erXT9XubQmc,https://youtu.be/erXT9XubQmc,Advice From Donald Trump's New Lawyer,The Late Show with Stephen Colbert,2024-05-23T03:11:59Z,219565,Donald Trump,1
FlzPGAjnjww,https://youtu.be/FlzPGAjnjww,"""We're Music Fans, We Love Music"" - Billie Eilish On Being Raised In A Musical Family",The Late Show with Stephen Colbert,2024-05-22T07:35:00Z,242952,Billie Eilish,1
J5PKwKAnC4c,https://youtu.be/J5PKwKAnC4c,“Let Yourself Be Inspired” - Billie Eilish Says To Focus On Inspiration Not Imitation,The Late Show with Stephen Colbert,2024-05-22T07:35:00Z,425742,Billie Eilish,1
L0fCnEH14kc,https://youtu.be/L0fCnEH14kc,“I Want It To Make You Think” - Why Billie Eilish Is Willing To Suffer For The Perfect Album Cover,The Late Show with Stephen Colbert,2024-05-22T07:35:00Z,1189365,Billie Eilish,1
XsiBJ2IUr-8,https://youtu.be/XsiBJ2IUr-8,“Lunch” - Billie Eilish (LIVE on The Late Show),The Late Show with Stephen Colbert,2024-05-22T07:35:00Z,1259617,Billie Eilish,1
mN1NCAuvadw,https://youtu.be/mN1NCAuvadw,Court Sketch Court: To Sketch A Predator,The Late Show with Stephen Colbert,2024-05-21T07:35:00Z,463052,Donald Trump,1
iH8SAXkeZFI,https://youtu.be/iH8SAXkeZFI,Trump’s Minions Show Up For Moral Support | NYC Rat Summit | Pro Soccer’s Newest Star,The Late Show with Stephen Colbert,2024-05-17T03:50:00Z,2051598,Eric Adams,1
DiPfHF0RKZs,https://youtu.be/DiPfHF0RKZs,MAGA Takes Manhattan,The Late Show with Stephen Colbert,2024-05-15T03:00:14Z,319533,Donald Trump,1
SNRJZeenTus,https://youtu.be/SNRJZeenTus,Ryan Gosling Takes The Colbert Questionert,The Late Show with Stephen Colbert,2024-05-10T07:35:00Z,1803704,Ryan Gosling,1
