name,date,value,season,scaled_value,pct_change,vol,dvol,thr,vol_jump
Aaron Rodgers,2023-01-23 00:00:00+00:00,1,1,1.0,0.0,0.25076191781882906,1.1355475925386864,0.06068511283687594,True
Aaron Rodgers,2023-02-01 00:00:00+00:00,2,1,2.0,0.9999990000010001,0.40089149110175754,0.09302780239454289,0.06068511283687594,True
Aaron Rodgers,2023-02-05 00:00:00+00:00,2,1,2.0,0.9999990000010001,0.49724471057863273,0.06502618119411457,0.06068511283687594,True
Aaron Rodgers,2023-02-08 00:00:00+00:00,2,1,2.0,0.9999990000010001,0.525450681754918,0.0670136886480805,0.06068511283687594,True
Aaron Rodgers,2023-02-22 00:00:00+00:00,1,1,1.0,0.0,0.4584369931068375,0.06701368864808044,0.06068511283687594,True
Aaron Rodgers,2023-02-27 00:00:00+00:00,2,1,2.0,0.0,0.4322185293845181,0.06502618119411452,0.06068511283687594,True
Aaron Rodgers,2023-03-01 00:00:00+00:00,2,1,2.0,0.9999990000010001,0.4972447105786326,0.06502618119411452,0.06068511283687594,True
Aaron Rodgers,2023-03-03 00:00:00+00:00,2,1,2.0,0.9999990000010001,0.5254506817549179,0.06701368864808044,0.06068511283687594,True
Aaron Rodgers,2023-03-13 00:00:00+00:00,15,1,15.0,2.749999312500172,0.8744434581890478,0.3290040966395954,0.06068511283687594,True
Aaron Rodgers,2023-03-27 00:00:00+00:00,1,1,1.0,0.0,0.24237032597991595,0.5687079740210454,0.06068511283687594,True
Aaron Rodgers,2023-03-28 00:00:00+00:00,2,1,2.0,0.9999990000010001,0.38799140055137393,0.14562107457145798,0.06068511283687594,True
Aaron Rodgers,2023-04-11 00:00:00+00:00,1,1,1.0,0.0,0.13363055414093464,0.1742331345662804,0.06068511283687594,True
Aaron Rodgers,2023-04-12 00:00:00+00:00,1,1,1.0,0.0,0.0,0.13363055414093464,0.06068511283687594,True
Aaron Rodgers,2023-04-17 00:00:00+00:00,4,1,4.0,2.9999970000030003,0.8017829239543491,0.8017829239543491,0.06068511283687594,True
Aaron Rodgers,2023-04-24 00:00:00+00:00,10,1,10.0,8.999991000009,2.50932078996323,1.6674242090080795,0.06068511283687594,True
Aaron Rodgers,2023-05-01 00:00:00+00:00,1,1,1.0,-0.499999750000125,2.4723640875925086,0.07332485487050278,0.06068511283687594,True
Aaron Rodgers,2023-05-08 00:00:00+00:00,1,1,1.0,1000000.0,267261.29981915164,267258.81968900334,0.06068511283687594,True
Aaron Rodgers,2023-05-11 00:00:00+00:00,1,1,1.0,1000000.0,363136.6129072922,95875.30075294658,0.06068511283687594,True
Aaron Rodgers,2023-05-20 00:00:00+00:00,1,1,1.0,1000000.0,425815.4297578502,62678.81937229127,0.06068511283687594,True
Aaron Rodgers,2023-05-22 00:00:00+00:00,1,1,1.0,0.0,363136.5801241507,62678.810923205805,0.06068511283687594,True
Aaron Rodgers,2023-05-25 00:00:00+00:00,1,1,1.0,0.0,267261.26247109374,95875.28739163117,0.06068511283687594,True
Aaron Rodgers,2023-05-28 00:00:00+00:00,1,1,1.0,1000000.0,363136.5498627249,95875.28739163117,0.06068511283687594,True
Aaron Rodgers,2023-06-03 00:00:00+00:00,0,1,0.0,0.0,267261.28302974097,95875.29709440976,0.06068511283687594,True
Aaron Rodgers,2023-06-11 00:00:00+00:00,0,1,0.0,0.0,0.26728150932250383,267260.99518958444,0.06068511283687594,True
Aaron Rodgers,2023-06-12 00:00:00+00:00,1,1,1.0,1000000.0,267261.26247109374,267260.99518958444,0.06068511283687594,True
Aaron Rodgers,2023-06-18 00:00:00+00:00,1,1,1.0,1000000.0,363136.5498627249,95875.28739163117,0.06068511283687594,True
Aaron Rodgers,2023-06-22 00:00:00+00:00,1,1,1.0,1000000.0,425815.39104735653,62678.810923205805,0.06068511283687594,True
Aaron Rodgers,2023-06-26 00:00:00+00:00,0,1,0.0,0.0,363136.6103855589,62678.81937229127,0.06068511283687594,True
Aaron Rodgers,2023-07-02 00:00:00+00:00,0,1,0.0,0.0,267261.283029741,95875.2970944097,0.06068511283687594,True
Aaron Rodgers,2023-07-06 00:00:00+00:00,0,1,0.0,0.0,0.2673166386025992,267260.9951544552,0.06068511283687594,True
Aaron Rodgers,2023-07-08 00:00:00+00:00,1,1,1.0,1000000.0,267261.2419124244,267260.9745957858,0.06068511283687594,True
Aaron Rodgers,2023-07-15 00:00:00+00:00,1,1,1.0,1000000.0,363136.5498627249,95875.28739163111,0.06068511283687594,True
Aaron Rodgers,2023-07-19 00:00:00+00:00,1,1,1.0,1000000.0,425815.39104735653,62678.810923205805,0.06068511283687594,True
Aaron Rodgers,2023-07-22 00:00:00+00:00,1,1,1.0,0.0,363136.5801241507,62678.810923205805,0.06068511283687594,True
Aaron Rodgers,2023-07-29 00:00:00+00:00,1,1,1.0,0.0,267261.26247109374,95875.28739163117,0.06068511283687594,True
Aaron Rodgers,2023-08-02 00:00:00+00:00,0,1,0.0,-0.9999990000010001,0.26731367091936953,267260.9745987535,0.06068511283687594,True
Aaron Rodgers,2023-08-03 00:00:00+00:00,1,1,1.0,1000000.0,267261.2624710938,267260.9951574229,0.06068511283687594,True
Aaron Rodgers,2023-08-17 00:00:00+00:00,1,1,1.0,0.0,0.3079179203989231,267260.92371541803,0.06068511283687594,True
Aaron Rodgers,2023-08-18 00:00:00+00:00,1,1,1.0,0.0,0.13375544809535214,0.17416247230357093,0.06068511283687594,True
Aaron Rodgers,2023-08-19 00:00:00+00:00,1,1,1.0,0.0,0.0,0.13375544809535214,0.06068511283687594,True
